rank	av	corpus_count
0	халкъ	1928
1	заман	1863
2	гӀумру	1618
3	хӀакъикъат	1573
4	тарих	1421
5	амма	1338
6	аллагь	1141
7	къадар	1036
8	баракат	1011
9	тадбир	953
10	миллат	872
11	баян	826
12	хӀукумат	819
13	расул	804
14	хабар	797
15	гӀасру	779
16	жамагӀат	723
17	мурад	701
18	ватӀан	697
19	имам	683
20	балагь	682
21	сурат	647
22	ахир	642
23	суал	629
24	хӀал	624
25	адабият	606
26	хӀисаб	603
27	марказ	602
28	асар	580
29	хӀарп	531
30	къагӀида	521
31	магӀна	504
32	сах	499
33	хӀасил	498
34	жаваб	492
35	хасаб	487
36	ислам	469
37	къуват	462
38	дин	460
39	шагӀир	444
40	макъала	431
41	гӀадат	431
42	сапар	423
43	къимат	417
44	гӀелму	415
45	хӀайван	413
46	пикру	411
47	жумгьурият	382
48	баркала	380
49	захӀмат	380
50	къабул	362
51	тӀабигӀат	355
52	гъурущ	346
53	мисал	343
54	магӀишат	341
55	хӀурмат	341
56	мажгит	333
57	хӀажи	315
58	инсан	314
59	гьава	312
60	маданият	312
61	хӀадур	307
62	шапакъат	302
63	сагӀат	298
64	тӀалаб	296
65	загьир	280
66	хӀукму	269
67	гӀамм	266
68	кагъат	259
69	наслу	254
70	гӀамал	253
71	масала	241
72	рамазан	236
73	рузман	232
74	хӀаракат	232
75	гӀакълу	230
76	калам	227
77	салам	224
78	пайда	220
79	талихӀ	220
80	дарс	217
81	даража	217
82	хӀажат	215
83	сипат	213
84	ирс	211
85	камил	211
86	сабаб	204
87	вакил	203
88	ихтияр	202
89	Къуръан	198
90	адаб	197
91	хъала	196
92	зарал	193
93	аскар	189
94	устар	187
95	тайпа	184
96	икълим	184
97	гӀилла	184
98	нигӀмат	182
99	хасият	178
100	аслу	173
101	майдан	170
102	мухбир	169
103	рухӀ	168
104	къисмат	164
105	мугӀалим	161
106	наиб	160
107	нур	158
108	хӀалал	149
109	хитӀаб	147
110	рази	146
111	мунагь	144
112	низам	141
113	гьужум	140
114	гӀаламат	137
115	дуниял	135
116	баркат	135
117	игӀраб	130
118	даим	129
119	иман	124
120	дугӀа	124
121	алипба	123
122	къурбан	120
123	икъбал	120
124	къади	119
125	тарбия	119
126	харж	119
127	гӀайиб	119
128	къанун	118
129	алат	117
130	къиса	114
131	къадру	113
132	султан	112
133	надир	111
134	лахӀзат	111
135	вилаят	110
136	шартӀ	108
137	мажлис	107
138	сабру	106
139	рахӀат	104
140	идара	103
141	шайих	100
142	инкар	98
143	хазина	98
144	тартиб	98
145	машгьураб	96
146	хӀакъ	96
147	гӀакъил	95
148	амру	93
149	тасдикъ	93
150	таржама	92
151	жамгӀият	92
152	масъала	91
153	хӀикмат	91
154	тавпикъ	90
155	амин	89
156	амир	88
157	манзил	88
158	сиясат	87
